video_id,video_title,views,comments
7EN8BPdUQxg,J-LAINI & P-MAN - AFTER LAUGHTER,21657,13
WQRqxb69EW8,DAVID RUFFIN GETS PERSONAL (DEATHAVERSARY) @DAVIDRUFFINJR / #DAVIDRUFFIN,90219,228
c5U9t8zVE3w,Lazy Rich Production Showcase Summer 2009,1044,6
VOXsta5yOr0,X-Press 2 - Lazy (Lazy Rich Remix) [Skint Recordings],6136,10
5kz_XDA7_Uk,WALE f. LADY GAGA - CHILLIN (TOP BILLIN UK MIX) official,14589,41
tvsiut8pND0,TURN THA BEAT UP,235717,127
WH59iVHHF1w,SCHLACHTHOFBRONX - AYOBA FT. SPOEK & GNUCCI BANANA (TOP BILLIN REMIX),11684,5
pu3msm7Uw8o,TV OFF - BOOGIEMAN (SHARKSLAYER REMIX),1385,1
nkf76SXUhZ0,Ray Vicks - Bands,6567,2
VXPqvIzeoyc,Ray Vicks - My Life Story,68455,28
ly40zdx73zg,03. Ray Vicks - Go Hard (ft Lil Boosie),10616,3
OOr--RrJFbk,04. Ray Vicks - Bands (ft Yungsta & Squirm G),4784,0
VFMyt2va3fM,06. Ray Vicks - My Life Story,1538,1
lt0HVm2dNLg,BEATAUCUE - WOLVES (SHARKSLAYER REMIX),3069,2
p1M9obp39XM,RAY VICKS & LIL BOOSIE - UNDER INVESTIGATION 2010 (Drugs & Murder) NEW 2010 !!!!!,327678,266
n9xhTxCfsr8,Ray Vicks & Lil Boosie - Go Hard (New 2010),212024,62
ssXNZhWkouk,Ray Vicks ft Rocko  - Bands Remix (NEW 2010),8476,4
TI_i1lM-r8Q,DajeForte goes to Milano,4877,5
46b-3E5uP2E,This Is How We Do It Vol.1 (DajeForte Crossing Europe),1029,3
R13hwthIxKg,Mumdance - Smasher (Top Billin Remix) [Mad Decent],3915,2
m9WIpQkbmvY,DajeForte Car Shots VOL.1,1371,7
2z4QGLrBDss,PeaceTreaty - Cheater (Original Mix),979,2
Q-OK2wECCrI,The Squatters - Minesweeper (Black Noise Remix),451,2
VvcAU0PJQ2g,Bruno Barudi - I Found Love (Electrixx Remix),360,0
JmkKaHhg4fc,The Boomzers - Rowentah (Far Too Loud Remix),290,0
y5EUOnUD5-4,Jason Van Wyk - Far From Home (Pierre Pienaar Remix),221,0
8k4nAd4epg0,Smootrab & Nicz Troma - Got A Feeling (Ragga Tech Mix),1213,0
htZ5e6ISlJA,Rednek - I'm Not Skrillex (VIP Mix),3371,14
J4syuj9aO7A,RAY VICKS & LIL BOOSIE - NOV 27th!!!! OFFICIAL DROP DATE!!!!,34907,7
WA9M-4C_GXo,RAY VICKS & LIL BOOSIE - PLEDGE ALLEGIANCE (FT 38 SLIMM) ** 2012 ** OFFICIAL VIDEO **,211808,71
Qw8Hr5RMoR0,Alex Mind - Peacemakers (Original Mix),249,0
LvIjnjWahJk,T.Raumschmiere - Entertain Me (Fukkk Offf Remix),546,0
uzT8O6DBflo,LIQUID STRANGER - CRYO (ELECTRONICA/CHILL),67403,128
NuGTgfB7hGU,LIQUID STRANGER - BURST (ELECTRONICA/CHILL),60880,101
mlqIPNIG1aU,LIQUID STRANGER - ZEAL (ELECTRONICA/CHILL),71548,113
5e87HA9PxHE,Ray Vicks Homies & Thugs Music Video,244825,96
mFkIqaQYBdY,LIQUID STRANGER - MAGENTA (CHILL / ACID),36152,73
sxNjwePaoac,LIQUID STRANGER - BEACON (ELECTRONICA/CHILL),30124,44
vQhQ5iXI-Z4,LIQUID STRANGER - THE OTHER DREAMERS (ELECTRONICA/CHILL),11648,27
p5oiIjVgdDk,LIQUID STRANGER - ECTOPLASM (ELECTRONICA/CHILL),21989,22
A9n-ukgy5Yg,LIQUID STRANGER - FAR AND BEYOND (ELECTRONICA/CHILL),14161,12
dEJdSrBajK0,LIQUID STRANGER - FROSTBITE (ELECTRONICA/CHILL),22078,15
WZ4BZvJ67bo,LIQUID STRANGER - MINIMUM (ELECTRONICA/CHILL),20776,18
aUa-JhxR4g4,LIQUID STRANGER - ORGANISM (ELECTRONICA/CHILL),24040,13
g6mn5xY9EzE,LIQUID STRANGER - FRAGMENTS (ELECTRONICA/CHILL),23316,18
VFIc7Tf_Px4,Katy Perry - E.T. (Digitalchord Remix Bootleg) Free Download,5560,0
8lr6syOl8c8,LIQUID STRANGER - LOTUS (ETHNO/CHILL),13566,11
OPnSHqcDdcE,LIQUID STRANGER FEAT. BROTHER CULTURE - TANTRUM (RAGGA/MOOMBAHTON),9072,5
k-MpVP4dTF8,LIQUID STRANGER - BABYLON OUTCAST (DJ MIX),97458,103
pTq4hFLIFi0,SPL feat. Messinian - Rise From The Ashes (Original Mix),1338,0
qDh_VvnhU1s,Lazy Rich - You Missed A Spot (Original Mix),720,1
euPMcrvu5tI,TJR feat. DJ Gant-Man - Juke It (Bombs Away Remix),13470,3
QZXdkMnhlmc,Zero Method - Marco Polo (Original Mix),2890,3
hleTpJNCFnE,"DAVID RUFFIN JR - ""MUTHAPHUCKAWERK"" - @DAVIDRUFFINJR",11282,42
ZZnQ_WsyXL4,TOP BILLIN FEAT. MC ZULU - CHECK THE FREQUENCY,68,0
e4-owkNfdh8,TOP BILLIN FEAT. MC ZULU - CHECK THE FREQUENCY (CHRISSY MURDERBOT REMIX),116,1
lkKY1QXW5E4,Worthy drops Brass Monkey in honor of MCA May 4th 2012 at Avalon Hollywood,781,0
gp94KKFQjbk,Yo Vogue by Claude VonStroke live at Avalon Hollywood 05-04-12,251,0
Q3W-NzsxPhA,Freestylers feat. Joshua Steele - Frozen (Cookie Monsta Remix),616,1
Q5cAIq0kUOc,Rednek - They Call Me (Rubbadub Mix),3508,7
b7KbAoxLrMU,Aqualight - Rock n Roll (Original Mix),602,0
NAV1jvAVP8g,SPL - Back At It (Bro Safari Remix),888,1
ljU_60-6piI,Dilemn - Like This (Fukkk Offf Remix),2041,1
m9ZLpdEQiuo,GETTER - ILL SHIT (LIQUID STRANGER REMIX),39513,148
ILXA_X6_E5M,GORILLA ZOE - MOVIE (LIQUID STRANGER REMIX) (DUBSTEP),23075,113
ip_2UwtkI40,Jacq - Sleeping Beauty (Kids With Weapons Remix),756,0
Wzt_7Iyy2k8,DJ Chap - It's Seems I'm Never (Original Mix),2734,5
AKLiWh5f3H0,Intiman & Foreign Beggars - Hit That (Maztek Remix),2587,2
fqfcPJ5lYP8,BogusDank - Fringe Science (Original Mix),1752,1
koCR2cAyyqY,Baramuda - Fiesta En Paris (Carl Tricks Remix),1311,0
lIbSsJm_Zys,Leona Lewis - Trouble (Fatso Remix),328,1
Pnu0tilI7iI,Beatman and Ludmilla feat Kate Havnevik - Happy Sad (Original Mix),10049,4
gscggfciWUM,Too Fresh - Like To Party feat BAM (Original Mix),2175,0
POLRtVksDmk,TJR Feat Whiskey Pete - Face Melt (TJR Remix),9131,0
SDI1YJEDLz8,Andy Reid & James Bradshaw feat Simone Denny - That Sound (Main Mix) [Phoenix Music],3438,3
d7EkW-zbt1A,Atlantic Connection feat Tali - Casting Shadows (Bro Safari Remix),1093,1
6CJtoDc7sjs,DAJEFORTE CAR SHOTS vol 2,314,0
nfj1wrU4B5M,Hey Daem - Plain & Simple ***Black Balloon Records 2013***,4776,2
J4lHy6WCFno,Chaxxx - Don't Stop (Nicolas Chazarreta Remix) [Audiophile Live],246,0
x2JPj9fPc_A,Justice & Simian-We Are Your Friends (Wayne Madiedo Remix) FREE DOWNLOAD!!,1307,0
idzdtKOQeFQ,Rebel Sonix - Video mixtape for Top Billin,1581,4
y-jaxCCUqPQ,Sav One -Sav Lifesyle (official music video),1636,8
hfG8MTWULAQ,Jesus Nava & Wayne Madiedo- Sweet Dreams (Original Mix) FREE DOWNLOAD!!,12247,6
vRUAVGqleeA,Chaxxx - Sun In The Dark (Original Mix) [Audiophile Live],683,0
F1LDn0uYGXI,AWOLNATION - SAIL (LIQUID STRANGER REMIX),129024,293
SRTBwL40Uy8,Sav One -PotHead Beezy (verse),158,1
wZ-e_qTBAms,Solar Shock (PRA2) - Imagination (Original Mix) [Audiophile Live],1386,3
MCMLtX3BdlQ,California -Sav One,329,3
HY5qfO7iIEI,"Becca ft. Circe - So Close, So Far (Instrumental Mix) [Audiophile Live]",310,0
GBsunWklQqM,LA TIMEZ - PRIVATE DANCE [OFFICIAL MUSIC VIDEO]  DOGZ4LIFE,1972,8
O41ooKGFHmI,Auvic & Chris Poirier - Enticing (Original Mix) [Audiophile Live],2157,17
OPpby8NNvgw,Sugarhill Gang-Rappers Delight (Wayne Madiedo Bootleg),3332,2
xCj9PsKDb4s,Alex Ferro - M & L (Original Mix) [Audiophile Live],535,4
lYIM6O0n8Tw,Cosmic Gate & Emma Hewitt - Calm Down (Zetandel Chillout Mix),2403,0
MfDyfU6W4n0,Sharkslayer - Brimstone ('99 Mix),21,0
n6q6J9VEM8g,Emilio Fernandez Feat Jones - Closer To Me (JQA & Manufactured Superstars Remix),409,0
ZCBhFeN0k9c,"Dubfire, Radio Slave   Grindhouse Juan Ddd Bootleg)",11902,5
sY4GslNUTlE,The Future 020 - Back2Rave Guest Mix [Electro House],440,3
sO3hHdOL_3U,4Frame - The Drones (Original Mix) [Audiophile Live],768,3
lavHQu96Q3g,Daniel Forster ft. Gringa - Next Place (Darth & Vader Remix) [Audiophile Live],680,5
